Campaign,SKU,ASIN
VitaDirect Premium D-Aspartic Acid (DAA),VDT_DAA_120Caps_E,B07D2ZW22H
VitaDirect Premium Pure L-Theanine,VDT_L_THEAN_120Caps_E,B06X99SK72
VitaDirect Premium Collagen Hydrolysate Protein,VDT_COL_HYDR_1LB_E,B0711TNZBW
VitaDirect Premium TUDCA,VDT_TUDCA-60CAP_E,B06WWRJWF4
VitaDirect Vitamin C,VDT_Vit_C_1LB_E,B087DW1QVX
VitaDirect Premium Alpha Lipoic Acid,VDT_ALA-120Caps_E,B08D9VMSYJ
VitaDirect Premium Riboflavin (Vitamin B2),VDT_VitB2_90Caps_E,B08BDZQLSD
VitaDirect Premium Turmeric Plus,VDT_Turmeric_90caps_E,B073GDCVQ4
VitaDirect Cranberry with Vitamin C & E,VDT_CRANB_90_Caps_E,B06WWH5J57
VitaDirect Premium Vitamin B1,VDT_VIT_B1_E,B07L9GXG1V
VitaDirect PQQ,VDT_PQQ_30Caps_120Serv_E,B07CV1PZ92
VitaDirect Vitamin B12,VDT_VitB12_120Caps_E,B08D2L6W5P
VitaDirect Caffeine,VDT_Caffeine_200mg_E,B06WWG7G71
VitaDirect Resveratrol,VDT_Resv_90Caps_E,B073GF1DFS
VitaDirect CLA,VDT_CLA_180Caps_E,B073LM7YR1
VitaDirect Melatonin,VDT_Melatonin_180Caps_E,B06X9JF285
VitaDirect Vitamin E,VDT_VitE_120Gels_E,B08BF71KQB
VitaDirect L-Citrulline Malate,VDT_Lcit_Malate_500G_E,B089YWW8XR
VitaDirect Quercetin,VDT_Quer_120CapsE_,B08DK5XKMZ
VitaDirect Pantothenic Acid (Vitamin B5),VDT_VitB5_120Caps_E,B08BF8YBPK
VitaDirect Premium Zinc Gluconate,VDT_Zinc_Gluc_120Cap_E,B08D21Y7LS
